City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,el calafate,-50.3408,-72.2768,4.53,71,15,8.46,AR,1701330593
83,viqueque,-8.8673,126.3658,30.71,61,73,2.32,TL,1701330593
84,lerwick,60.1545,-1.1494,4.0,66,77,7.54,GB,1701330593
85,fisterra,42.9049,-9.2629,10.97,55,100,6.17,ES,1701330594
86,dunedin,-45.8742,170.5036,10.45,79,98,2.68,NZ,1701330379
87,shimoda,34.6667,138.95,14.2,55,0,11.22,JP,1701330594
88,udachny,66.4167,112.4,-13.08,92,100,8.61,RU,1701330386
89,san andres,12.5847,-81.7006,29.01,79,20,7.2,CO,1701330595
90,el granada,37.5027,-122.4694,12.54,89,0,0.0,US,1701330583
91,san patricio,28.017,-97.5169,20.47,93,100,5.33,US,1701330595
92,whitehorse,60.7161,-135.0538,-8.57,78,100,7.72,CA,1701330544
93,bayganin,48.6947,55.8742,2.89,54,96,5.21,KZ,1701330596
94,lobujya,27.95,86.8167,-7.63,59,94,3.39,NP,1701330596
95,nguigmi,14.2495,13.1092,28.52,15,5,6.97,NE,1701330596
96,vilyuchinsk,52.9306,158.4028,-3.85,77,100,4.7,RU,1701330597
97,barcelos,41.5388,-8.6151,11.62,96,100,1.79,PT,1701330597
98,yellowknife,62.456,-114.3525,-17.55,89,75,1.54,CA,1701330597
99,salalah,17.0151,54.0924,29.05,65,20,3.09,OM,1701330598
100,xilin hot,43.9667,116.0333,-14.84,79,100,4.6,CN,1701330598
101,isafjordur,66.0755,-23.124,3.02,65,75,4.63,IS,1701330598
102,bamboo flat,11.7,92.7167,29.05,74,100,4.12,IN,1701330598
103,beloyarskiy,63.7119,66.6722,-4.44,95,98,2.24,RU,1701330599
104,cidreira,-30.1811,-50.2056,20.31,95,6,3.31,BR,1701330599
105,san gabriel,34.0961,-118.1058,14.71,78,0,0.0,US,1701330599
106,alaghsas,17.0187,8.0168,20.94,18,0,3.09,NE,1701330600
107,tobol,52.6844,62.5794,-1.43,94,100,7.61,KZ,1701330600
108,papatowai,-46.5619,169.4708,8.66,80,39,3.78,NZ,1701330600
109,selfoss,63.9331,-20.9971,-0.76,80,45,3.47,IS,1701330601
110,el soberbio,-27.2985,-54.1988,25.17,99,30,0.47,AR,1701330601
111,kone,-21.0595,164.8658,25.56,72,94,1.33,NC,1701330467
112,lebu,-37.6167,-73.65,11.27,93,11,5.88,CL,1701330401
113,kapa'a,22.0752,-159.319,23.18,85,40,4.63,US,1701330470
114,quebo,11.3333,-14.9333,24.85,75,65,1.12,GW,1701330604
115,colonia,50.9333,6.95,2.14,91,75,2.06,DE,1701330604
116,uturoa,-16.7333,-151.4333,27.17,83,100,9.08,PF,1701330605
117,acarau,-2.8856,-40.12,26.27,78,68,4.95,BR,1701330605
118,mawlaik,23.6333,94.4167,29.28,43,0,0.88,MM,1701330606
119,blackmans bay,-43.0167,147.3167,14.85,68,97,0.45,AU,1701330606
120,portland,45.5234,-122.6762,4.56,77,100,3.58,US,1701330160
121,kalininsk,51.5,44.4758,2.95,99,100,4.51,RU,1701330607
122,nizao,18.25,-70.2,25.82,84,54,3.91,DO,1701330607
123,akureyri,65.6835,-18.0878,0.96,80,75,3.6,IS,1701330608
124,gulf shores,30.246,-87.7008,10.56,100,0,0.0,US,1701330608
125,atafu village,-8.5421,-172.5159,29.38,73,15,6.71,TK,1701330452
126,inverell,-29.7833,151.1167,23.98,32,100,1.34,AU,1701330609
127,den burg,53.0542,4.7972,0.99,94,19,1.03,NL,1701330609
128,vorgashor,67.5833,63.95,-16.76,96,14,2.33,RU,1701330444
129,jining,35.405,116.5814,4.82,17,4,2.85,CN,1701330609
130,college,64.8569,-147.8028,-10.01,85,75,2.06,US,1701330610
131,shimanovsk,52.0,127.7,-14.47,79,5,2.03,RU,1701330610
132,cadale,2.7603,46.3222,30.16,63,100,8.02,SO,1701330610
133,zimapan,20.75,-99.35,13.5,87,100,1.14,MX,1701330611
134,georgetown,5.4112,100.3354,30.97,70,20,4.63,MY,1701330499
135,talnakh,69.4865,88.3972,-20.56,100,91,1.95,RU,1701330611
136,okhotsk,59.3833,143.3,-18.02,83,79,4.37,RU,1701330612
137,sovetskaya gavan',48.9723,140.2878,-14.94,73,37,4.78,RU,1701330612
138,emerald,-23.5333,148.1667,34.08,28,73,2.48,AU,1701330523
139,longyearbyen,78.2186,15.6401,-5.09,86,75,8.23,SJ,1701330462
140,mar del plata,-38.0023,-57.5575,18.26,84,0,3.13,AR,1701330477
141,sao joao de pirabas,-0.7747,-47.1772,25.33,86,26,2.76,BR,1701330614
142,nantucket,41.2835,-70.0995,4.06,65,75,6.17,US,1701330614
143,labrador city,52.9463,-66.9114,-29.05,76,0,1.54,CA,1701330603
144,denison,33.7557,-96.5367,13.46,69,100,2.68,US,1701330456
145,selebi-phikwe,-21.979,27.8498,20.63,57,92,8.88,BW,1701330615
146,trogir,43.5125,16.2517,14.33,77,40,5.66,HR,1701330615
147,diawara,15.022,-12.5437,25.05,14,7,3.56,SN,1701330616
148,port elizabeth,-33.918,25.5701,21.84,62,0,8.75,ZA,1701330616
149,hasaki,35.7333,140.8333,12.22,56,87,11.53,JP,1701330616
150,bandon,51.7469,-8.7425,1.77,90,28,7.09,IE,1701330617
151,najran,17.4924,44.1277,19.36,31,6,4.71,SA,1701330341
152,sibu,2.3,111.8167,30.17,79,40,5.14,MY,1701330617
153,turpan,42.9333,89.1667,9.2,26,18,0.9,CN,1701330618
154,laminusa,5.5549,120.9136,27.64,80,100,6.35,PH,1701330618
155,nhamunda,-2.1861,-56.7131,25.97,76,100,1.55,BR,1701330619
156,akrehamn,59.2667,5.1833,0.0,63,0,3.6,NO,1701330619
157,nemuro,43.3236,145.575,-0.87,47,40,7.96,JP,1701330620
158,ujae,8.9322,165.7642,27.79,76,100,6.6,MH,1701330620
159,vorkuta,67.5,64.0,-16.77,96,12,2.32,RU,1701330620
160,saipan,15.1355,145.701,28.39,83,100,6.69,MP,1701330621
161,beacon square,28.2086,-82.7554,12.86,81,9,5.03,US,1701330621
162,avarua,-21.2078,-159.775,24.03,83,20,3.6,CK,1701330622
163,hawaiian paradise park,19.5933,-154.9731,24.73,96,75,2.57,US,1701330443
164,as sulayyil,20.4607,45.5779,21.14,36,0,4.84,SA,1701330622
165,hithadhoo,-0.6,73.0833,28.15,76,97,6.87,MV,1701330444
166,bonthe,7.5264,-12.505,25.43,87,99,1.62,SL,1701330623
167,san rafael del sur,11.8485,-86.4384,24.5,79,100,5.05,NI,1701330624
168,kekri,25.9667,75.15,25.64,39,0,1.31,IN,1701330624
169,karaton,-6.3424,106.1045,28.73,75,100,1.55,ID,1701330625
170,smithers,54.7804,-127.1743,0.18,80,100,5.66,CA,1701330625
171,karabar,-35.3753,149.2308,19.64,75,100,4.12,AU,1701330625
